STY,FRE,PHI,FRE,STY,cal_type
7:10,7:30,,,7:45,WEEKDAY_MF
7:50,8:05,8:30,9:00,9:15,WEEKDAY_MF
10:00,10:20,,,10:35,WEEKDAY_MF
10:45,,11:10,,11:30,WEEKDAY_MF
11:50,12:10,,,12:25,WEEKDAY_MF
14:35,14:55,15:20,15:45,16:00,WEEKDAY_MF
16:15,16:35,,,16:50,WEEKDAY_MF
17:15,17:35,18:00,18:30,18:45,WEEKDAY_MF
19:20,19:30,,,19:45,WEEKDAY_MF
7:40,7:55,8:30,9:00,9:15,SATURDAY
10:00,10:20,10:50,11:20,11:35,SATURDAY
12:00,12:20,,,12:35,SATURDAY
14:00,14:20,14:45,15:10,15:25,SATURDAY
15:40,16:00,,,16:15,SATURDAY
16:30,16:50,17:25,17:55,18:10,SATURDAY
18:15,18:30,,,18:45,SATURDAY
9:15,9:35,,,9:50,SUNDAY
10:15,10:35,11:05,11:35,11:50,SUNDAY
12:00,12:15,12:40,13:05,13:20,SUNDAY
14:20,14:35,15:05,15:35,15:50,SUNDAY
16:05,16:25,,,16:40,SUNDAY
16:45,17:50,17:35,18:00,18:10,SUNDAY
18:15,18:30,,,18:45,SUNDAY